InstanceId,studyPeriod,academicYear,planningNumStudents,seniorHours,assistantHours,Contains,ExaminedBy
I-1,1,2013-2014,50,280,300,1204,19610918-0027
I-2,3,2013-2014,20,240,240,1082,19620522-0023
I-3,4,2013-2014,20,240,300,1190,19560705-0025
I-4,3,2013-2014,50,280,420,1009,19600529-0021
I-5,4,2013-2014,60,280,300,1264,19570828-0008
I-6,2,2013-2014,20,280,300,1161,19630126-0001
I-7,4,2013-2014,50,260,420,1076,19660630-0020
I-8,3,2013-2014,50,240,420,1055,19601021-0018
I-9,3,2013-2014,60,280,300,1048,19690408-0009
I-10,4,2013-2014,40,280,300,1007,19590129-0004
I-11,1,2014-2015,20,240,360,1124,19620831-0024
I-12,1,2014-2015,40,260,280,1019,19620424-0026
I-13,1,2014-2015,20,240,300,1193,19630126-0001
I-14,4,2014-2015,40,240,420,1108,19680712-0028
I-15,3,2014-2015,50,280,300,1063,19601021-0018
I-16,3,2014-2015,40,280,360,1050,19580218-0007
I-17,3,2014-2015,50,260,300,1256,19660630-0020
I-18,4,2014-2015,60,280,420,1240,19560612-0010
I-19,3,2014-2015,50,260,300,1159,19620424-0026
I-20,3,2014-2015,60,240,360,1107,19560705-0025
I-21,3,2014-2015,20,240,200,1068,19560612-0010
I-22,1,2014-2015,20,240,240,1048,19690917-0022
I-23,4,2015-2016,20,260,200,1256,19650303-0019
I-24,2,2015-2016,40,240,360,1251,19690408-0009
I-25,2,2015-2016,60,260,240,1269,19570828-0008
I-26,1,2015-2016,60,280,200,1200,19650303-0019
I-27,4,2015-2016,60,260,420,1290,19620424-0026
I-28,3,2015-2016,60,240,240,1197,19690408-0009
I-29,3,2015-2016,20,260,420,1147,19600905-0003
I-30,3,2015-2016,20,260,240,1123,19680712-0028
I-31,3,2015-2016,50,280,240,1052,19690917-0022
I-32,3,2016-2017,40,240,420,1186,19600814-0002
I-33,4,2016-2017,60,260,240,1102,19570828-0008
I-34,1,2016-2017,20,240,200,1227,19620522-0023
I-35,2,2016-2017,50,240,240,1089,19640220-0029
I-36,4,2016-2017,20,240,300,1084,19650303-0019
I-37,1,2016-2017,20,260,420,1021,19570828-0008
I-38,4,2016-2017,60,240,300,1252,19650303-0019
I-39,3,2016-2017,60,260,300,1172,19570826-0012
I-40,3,2016-2017,20,280,280,1158,19620831-0024
I-41,4,2016-2017,60,280,200,1091,19640220-0029
I-42,1,2016-2017,50,260,240,1045,19600814-0002
I-43,3,2017-2018,20,280,420,1272,19600905-0003
I-44,3,2017-2018,50,260,240,1248,19610620-0006
I-45,3,2017-2018,40,240,280,1232,19560612-0010
I-46,1,2017-2018,60,240,300,1006,19611219-0014
I-47,3,2017-2018,50,260,420,1241,19561222-0030
I-48,2,2017-2018,20,240,280,1215,19690408-0009
I-49,2,2017-2018,20,260,360,1090,19601021-0018
I-50,1,2017-2018,40,280,200,1085,19580515-0017
