registrationId,status,grade,RegistratedTo,RegistratedBy
R1,completed,3,I-1494,19860309-0002
R2,completed,4,I-3997,19860309-0002
R3,completed,3,I-658,19860309-0002
R4,completed,4,I-1499,19860309-0002
R5,completed,4,I-1496,19860309-0002
R6,completed,3,I-433,19860309-0002
R7,completed,4,I-1500,19860309-0002
R8,completed,4,I-1289,19860309-0002
R9,completed,4,I-1074,19860309-0002
R10,completed,3,I-1607,19860309-0002
R11,completed,3,I-871,19860309-0002
R12,completed,5,I-1608,19860309-0002
R13,completed,5,I-3697,19860309-0002
R14,completed,5,I-1922,19850305-0003
R15,completed,5,I-1199,19850305-0003
R16,completed,3,I-1924,19850305-0003
R17,completed,3,I-2658,19850305-0003
R18,completed,5,I-2037,19850305-0003
R19,completed,5,I-2038,19850305-0003
R20,completed,3,I-2040,19850305-0003
R21,completed,4,I-2041,19850305-0003
R22,completed,5,I-2039,19850305-0003
R23,completed,5,I-2044,19850305-0003
R24,completed,4,I-2993,19850305-0003
R25,completed,5,I-5074,19850305-0003
R26,completed,3,I-1204,19850305-0003
R27,completed,3,I-2042,19850305-0003
R28,completed,3,I-2156,19850305-0003
R29,completed,5,I-2157,19850305-0003
R30,completed,4,I-2159,19850305-0003
R31,completed,3,I-153,19850305-0003
R32,completed,5,I-4834,19860211-0004
R33,completed,5,I-2956,19860211-0004
R34,completed,3,I-4623,19860211-0004
R35,completed,5,I-2119,19860211-0004
R36,completed,3,I-2957,19860211-0004
R37,completed,4,I-1385,19860211-0004
R38,completed,3,I-2966,19860211-0004
R39,completed,5,I-2965,19860211-0004
R40,completed,4,I-2964,19860211-0004
R41,completed,4,I-1694,19860211-0004
R42,completed,5,I-3576,19880122-0005
R43,completed,3,I-3578,19880122-0005
R44,completed,5,I-327,19880122-0005
R45,completed,4,I-3582,19880122-0005
R46,completed,4,I-4011,19880122-0005
R47,completed,3,I-342,19880122-0005
R48,completed,5,I-238,19880122-0005
R49,completed,3,I-1923,19880122-0005
R50,completed,3,I-2636,19850603-0006
R51,completed,3,I-2637,19850603-0006
R52,completed,5,I-2638,19850603-0006
R53,completed,3,I-4941,19850603-0006
R54,completed,4,I-2233,19850603-0006
R55,completed,4,I-2756,19850603-0006
R56,completed,3,I-2759,19850603-0006
R57,completed,3,I-2761,19850603-0006
R58,completed,5,I-5166,19860222-0007
R59,completed,3,I-2447,19860222-0007
R60,completed,4,I-3786,19860222-0007
R61,completed,4,I-1606,19860222-0007
R62,completed,5,I-5378,19860222-0007
R63,completed,5,I-3897,19860222-0007
R64,completed,4,I-3899,19860222-0007
R65,completed,3,I-4226,19860222-0007
R66,completed,3,I-4015,19860222-0007
R67,completed,3,I-4016,19860222-0007
R68,completed,3,I-4018,19860222-0007
R69,completed,3,I-4324,19860222-0007
R70,completed,3,I-4017,19860222-0007
R71,completed,4,I-4024,19860222-0007
R72,completed,5,I-1100,19860222-0007
R73,completed,3,I-4020,19860222-0007
R74,completed,5,I-5179,19860222-0007
R75,completed,5,I-5,19861018-0009
R76,completed,3,I-3993,19861018-0009
R77,completed,4,I-5360,19861018-0009
R78,completed,5,I-5359,19861018-0009
R79,completed,5,I-535,19860829-0010
R80,completed,4,I-5255,19860829-0010
R81,completed,5,I-960,19860829-0010
R82,completed,4,I-5257,19860829-0010
R83,completed,5,I-3891,19860829-0010
R84,completed,4,I-5368,19860829-0010
R85,completed,3,I-5369,19860829-0010
R86,completed,3,I-1182,19860829-0010
R87,completed,5,I-1058,19850527-0011
R88,completed,3,I-1059,19850527-0011
R89,completed,5,I-1490,19850527-0011
R90,completed,4,I-2638,19850527-0011
R91,completed,3,I-4732,19850527-0011
R92,completed,3,I-1069,19850527-0011
R93,completed,5,I-323,19850527-0011
R94,completed,5,I-1389,19850527-0011
R95,completed,5,I-1067,19850527-0011
R96,completed,5,I-4835,19850527-0011
R97,completed,3,I-1181,19850527-0011
R98,completed,5,I-865,19850527-0011
R99,completed,4,I-1183,19850527-0011
R100,completed,3,I-1185,19850527-0011
R101,completed,3,I-230,19850527-0011
R102,completed,3,I-759,19850527-0011
R103,completed,3,I-545,19850527-0011
R104,completed,3,I-1188,19850527-0011
R105,completed,4,I-2756,19891217-0012
R106,completed,3,I-1495,19891217-0012
R107,completed,3,I-3077,19891217-0012
R108,completed,4,I-4633,19891217-0012
R109,completed,4,I-5277,19891217-0012
R110,completed,5,I-3175,19891217-0012
R111,completed,3,I-4964,19891217-0012
R112,completed,4,I-3179,19891217-0012
R113,completed,3,I-3288,19891217-0012
R114,completed,5,I-5396,19891217-0012
R115,completed,5,I-2253,19891217-0012
R116,completed,4,I-3291,19891217-0012
R117,completed,5,I-423,19861017-0014
R118,completed,3,I-424,19861017-0014
R119,completed,4,I-427,19861017-0014
R120,completed,4,I-5488,19861017-0014
R121,completed,3,I-2654,19861017-0014
R122,completed,3,I-541,19861017-0014
R123,completed,5,I-540,19861017-0014
R124,completed,5,I-542,19861017-0014
R125,completed,5,I-5150,19870714-0017
R126,completed,5,I-4730,19870714-0017
R127,completed,4,I-2638,19870714-0017
R128,completed,5,I-1065,19870714-0017
R129,completed,5,I-1394,19870714-0017
R130,completed,3,I-1284,19870714-0017
R131,completed,5,I-5059,19870714-0017
R132,completed,3,I-759,19870714-0017
R133,completed,3,I-4405,19850426-0018
R134,completed,3,I-4839,19850426-0018
R135,completed,4,I-4409,19850426-0018
R136,completed,3,I-4407,19850426-0018
R137,completed,5,I-2339,19850426-0018
R138,completed,4,I-4410,19850426-0018
R139,completed,3,I-3881,19850426-0018
R140,completed,5,I-2335,19850426-0018
R141,completed,4,I-4522,19850426-0018
R142,completed,5,I-5056,19850426-0018
R143,completed,5,I-3372,19850426-0018
R144,completed,5,I-4215,19850426-0018
R145,completed,5,I-4511,19870816-0019
R146,completed,3,I-4515,19870816-0019
R147,completed,4,I-4512,19870816-0019
R148,completed,4,I-3060,19870816-0019
R149,completed,3,I-5263,19880404-0020
R150,completed,4,I-2131,19880404-0020
R151,completed,3,I-5267,19880404-0020
R152,completed,3,I-5268,19880404-0020
R153,completed,3,I-876,19880404-0020
R154,completed,3,I-3896,19880404-0020
R155,completed,4,I-5381,19880404-0020
R156,completed,3,I-5387,19880404-0020
R157,completed,5,I-543,19891130-0023
R158,completed,5,I-4629,19891130-0023
R159,completed,4,I-4630,19891130-0023
R160,completed,5,I-4631,19891130-0023
R161,completed,3,I-5069,19891130-0023
R162,completed,5,I-4748,19891130-0023
R163,completed,4,I-4753,19891130-0023
R164,completed,5,I-4747,19891130-0023
R165,completed,3,I-27,19891130-0023
R166,completed,5,I-4751,19891130-0023
R167,completed,5,I-4125,19891130-0023
R168,completed,5,I-4863,19891130-0023
R169,completed,3,I-3905,19891130-0023
R170,completed,3,I-5077,19891130-0023
R171,completed,3,I-5150,19860208-0024
R172,completed,3,I-5151,19860208-0024
R173,completed,4,I-5154,19860208-0024
R174,completed,3,I-2642,19860208-0024
R175,completed,4,I-3999,19851213-0025
R176,completed,5,I-4633,19851213-0025
R177,completed,3,I-2969,19851213-0025
R178,completed,5,I-1809,19851213-0025
R179,completed,4,I-4425,19851213-0025
R180,completed,4,I-4859,19851213-0025
R181,completed,3,I-3690,19851213-0025
R182,completed,3,I-5386,19851213-0025
R183,completed,3,I-4541,19851213-0025
R184,completed,4,I-4543,19851213-0025
R185,completed,3,I-246,19851213-0025
R186,completed,4,I-5079,19851213-0025
R187,completed,5,I-428,19870512-0028
R188,completed,4,I-317,19870512-0028
R189,completed,3,I-3063,19870512-0028
R190,completed,4,I-3370,19870512-0028
R191,completed,3,I-3477,19870512-0028
R192,completed,5,I-3479,19870512-0028
R193,completed,3,I-3790,19870512-0028
R194,completed,5,I-3483,19870512-0028
R195,completed,4,I-4955,19870215-0031
R196,completed,3,I-3280,19870215-0031
R197,completed,3,I-5066,19870215-0031
R198,completed,3,I-4960,19870215-0031
R199,completed,4,I-4963,19870215-0031
R200,completed,4,I-3177,19870215-0031
R201,completed,5,I-4958,19870215-0031
R202,completed,3,I-441,19870215-0031
R203,completed,4,I-2450,19870215-0031
R204,completed,5,I-345,19870215-0031
R205,completed,3,I-4868,19870215-0031
R206,completed,5,I-5074,19870215-0031
R207,completed,4,I-5075,19870215-0031
R208,completed,5,I-4137,19870215-0031
R209,completed,5,I-5189,19870215-0031
R210,completed,5,I-52,19870215-0031
R211,completed,4,I-3400,19870215-0031
R212,completed,4,I-4210,19881204-0033
R213,completed,5,I-2649,19881204-0033
R214,completed,3,I-2646,19881204-0033
R215,completed,3,I-2445,19881204-0033
R216,completed,4,I-5388,19881204-0033
R217,completed,5,I-2765,19881204-0033
R218,completed,5,I-3183,19881204-0033
R219,completed,3,I-2356,19881204-0033
R220,completed,3,I-2764,19881204-0033
R221,completed,4,I-2772,19881204-0033
R222,completed,4,I-3795,19881204-0033
R223,completed,5,I-1610,19881204-0033
R224,completed,3,I-2769,19881204-0033
R225,completed,3,I-1405,19881204-0033
R226,completed,5,I-3079,19890416-0034
R227,completed,3,I-1402,19890416-0034
R228,completed,4,I-3081,19890416-0034
R229,completed,4,I-879,19890416-0034
