teacherId,name_teacher,BelongsTo
19781125-0031,TA 31,D6-0
19750906-0032,TA 32,D3-2
19750705-0033,TA 33,D6-1
19761024-0034,TA 34,D5-1
19780602-0035,TA 35,D8-2
19750331-0036,TA 36,D3-3
19750220-0037,TA 37,D5-3
19790702-0038,TA 38,D3-4
19751018-0039,TA 39,D6-4
19771013-0040,TA 40,D2-4
19790708-0041,TA 41,D5-2
19770713-0042,TA 42,D6-1
19750512-0043,TA 43,D5-0
19761020-0044,TA 44,D6-5
19790717-0045,TA 45,D1-2
19760524-0046,TA 46,D4-1
19780815-0047,TA 47,D7-2
19790618-0048,TA 48,D2-5
19790426-0049,TA 49,D8-3
19760108-0050,TA 50,D1-1
19750417-0051,TA 51,D3-1
19780317-0052,TA 52,D5-3
19781217-0053,TA 53,D1-3
19781130-0054,TA 54,D6-1
19761009-0055,TA 55,D5-2
19750122-0056,TA 56,D3-3
19780424-0057,TA 57,D1-4
19770224-0058,TA 58,D4-4
19750102-0059,TA 59,D3-0
19750722-0060,TA 60,D4-1
19930508-0061,TA 61,D1-4
19931118-0062,TA 62,D1-5
19900520-0063,TA 63,D2-1
19900124-0064,TA 64,D7-4
19920122-0065,TA 65,D8-4
19931203-0066,TA 66,D2-4
19910421-0067,TA 67,D4-3
19910514-0068,TA 68,D7-1
19911116-0069,TA 69,D7-2
19920828-0070,TA 70,D7-4
19901029-0071,TA 71,D4-2
19920206-0072,TA 72,D5-0
19920602-0073,TA 73,D4-5
19900201-0074,TA 74,D2-5
19920226-0075,TA 75,D7-3
19900619-0076,TA 76,D4-3
19910122-0077,TA 77,D3-0
19910820-0078,TA 78,D6-2
19931212-0079,TA 79,D4-2
19900321-0080,TA 80,D4-3
19910206-0081,TA 81,D2-1
19930829-0082,TA 82,D3-5
19900317-0083,TA 83,D2-5
19910214-0084,TA 84,D6-1
19901002-0085,TA 85,D2-0
19930228-0086,TA 86,D8-0
19901108-0087,TA 87,D7-4
19920826-0088,TA 88,D8-5
19900426-0089,TA 89,D7-0
19900902-0090,TA 90,D5-3
19911025-0091,TA 91,D4-3
19910817-0092,TA 92,D3-4
19920504-0093,TA 93,D6-2
19921201-0094,TA 94,D8-3
19900128-0095,TA 95,D8-5
19910327-0096,TA 96,D8-4
19921208-0097,TA 97,D7-4
19920217-0098,TA 98,D7-4
19931231-0099,TA 99,D2-5
19930709-0100,TA 100,D1-4
19921218-0101,TA 101,D5-2
19910404-0102,TA 102,D1-4
19910403-0103,TA 103,D7-2
19900119-0104,TA 104,D6-5
19900307-0105,TA 105,D2-3
19930414-0106,TA 106,D7-4
19920316-0107,TA 107,D7-4
19921123-0108,TA 108,D2-4
19920917-0109,TA 109,D4-5
19930906-0110,TA 110,D3-0
19901026-0111,TA 111,D3-5
19900430-0112,TA 112,D6-0
19900701-0113,TA 113,D1-0
19900902-0114,TA 114,D6-0
19920505-0115,TA 115,D3-3
19900818-0116,TA 116,D4-5
19930512-0117,TA 117,D4-2
19931226-0118,TA 118,D8-4
19901011-0119,TA 119,D2-1
19921127-0120,TA 120,D4-3
19920320-0121,TA 121,D2-2
19910822-0122,TA 122,D5-4
19900909-0123,TA 123,D6-0
19900616-0124,TA 124,D6-2
19901219-0125,TA 125,D7-1
19900723-0126,TA 126,D1-2
19930616-0127,TA 127,D3-1
19910927-0128,TA 128,D7-3
19921002-0129,TA 129,D1-1
19900801-0130,TA 130,D2-2
19910403-0131,TA 131,D8-4
19930326-0132,TA 132,D4-0
19910101-0133,TA 133,D7-3
19900511-0134,TA 134,D6-2
19930302-0135,TA 135,D6-2
19910921-0136,TA 136,D3-1
19930919-0137,TA 137,D8-2
19900701-0138,TA 138,D5-1
19930221-0139,TA 139,D3-5
19900211-0140,TA 140,D5-0
