HourId,assignedHours,ReportedHours,assignedBy,reportedBy
WH1,240,227,I-1,19620522-0023
WH2,100,115,I-1,19790708-0041
WH3,140,157,I-1,19930221-0139
WH4,280,281,I-2,19690408-0009
WH5,100,115,I-2,19750220-0037
WH6,100,112,I-2,19921201-0094
WH7,240,253,I-3,19570826-0012
WH8,140,146,I-3,19790702-0038
WH9,240,224,I-4,19690513-0015
WH10,140,135,I-4,19750705-0033
WH11,260,248,I-5,19610623-0005
WH12,140,140,I-5,19780424-0057
WH13,100,100,I-5,19920206-0072
WH14,240,228,I-6,19640220-0029
WH15,120,128,I-6,19790618-0048
WH16,140,157,I-6,19910927-0128
WH17,240,221,I-7,19630126-0001
WH18,140,157,I-7,19790702-0038
WH19,120,101,I-7,19910214-0084
WH20,240,235,I-8,19620831-0024
WH21,100,89,I-8,19760108-0050
WH22,100,107,I-8,19931231-0099
WH23,260,246,I-9,19570826-0012
WH24,120,116,I-9,19760524-0046
WH25,240,252,I-10,19600814-0002
WH26,100,84,I-10,19780424-0057
WH27,140,157,I-10,19911116-0069
WH28,260,241,I-11,19620522-0023
WH29,140,140,I-11,19750220-0037
WH30,140,141,I-11,19930709-0100
WH31,280,265,I-12,19640220-0029
WH32,100,109,I-12,19790708-0041
WH33,240,255,I-13,19570615-0011
WH34,140,146,I-13,19771013-0040
WH35,260,272,I-14,19620831-0024
WH36,120,136,I-14,19750417-0051
WH37,260,251,I-15,19590129-0004
WH38,120,113,I-15,19750906-0032
WH39,240,254,I-16,19620831-0024
WH40,100,103,I-16,19780317-0052
WH41,240,225,I-17,19610620-0006
WH42,140,123,I-17,19790717-0045
WH43,260,276,I-18,19590129-0004
WH44,120,117,I-18,19781130-0054
WH45,140,136,I-18,19920206-0072
WH46,240,239,I-19,19561222-0030
WH47,100,108,I-19,19780602-0035
WH48,120,104,I-19,19900211-0140
WH49,280,265,I-20,19640414-0013
WH50,140,143,I-20,19781217-0053
WH51,140,123,I-20,19900902-0114
WH52,280,268,I-21,19620424-0026
WH53,100,110,I-21,19780317-0052
WH54,140,121,I-21,19931231-0099
WH55,260,255,I-22,19601021-0018
WH56,140,152,I-22,19750722-0060
WH57,120,125,I-22,19920217-0098
WH58,260,240,I-23,19680712-0028
WH59,100,120,I-23,19760524-0046
WH60,280,299,I-24,19610623-0005
WH61,100,109,I-24,19750122-0056
WH62,140,144,I-24,19921127-0120
WH63,240,260,I-25,19560812-0016
WH64,120,122,I-25,19761020-0044
WH65,100,84,I-25,19920122-0065
WH66,280,297,I-26,19680712-0028
WH67,140,132,I-26,19781130-0054
WH68,280,297,I-27,19610620-0006
WH69,120,140,I-27,19750906-0032
WH70,260,265,I-28,19620522-0023
WH71,100,119,I-28,19781130-0054
WH72,140,124,I-28,19921002-0129
WH73,260,245,I-29,19560812-0016
WH74,100,109,I-29,19751018-0039
WH75,120,106,I-29,19901029-0071
WH76,280,287,I-30,19600814-0002
WH77,140,147,I-30,19790426-0049
WH78,260,250,I-31,19560705-0025
WH79,120,108,I-31,19790702-0038
WH80,140,156,I-31,19900701-0113
WH81,280,298,I-32,19610918-0027
WH82,100,96,I-32,19761024-0034
WH83,240,227,I-33,19660630-0020
WH84,120,119,I-33,19781217-0053
WH85,260,254,I-34,19660630-0020
WH86,120,115,I-34,19750331-0036
WH87,280,271,I-35,19690408-0009
WH88,100,100,I-35,19770713-0042
WH89,260,261,I-36,19601021-0018
WH90,100,114,I-36,19790618-0048
WH91,260,272,I-37,19680712-0028
WH92,100,84,I-37,19790618-0048
WH93,280,273,I-38,19610623-0005
WH94,100,118,I-38,19781125-0031
WH95,260,258,I-39,19600529-0021
WH96,120,136,I-39,19761024-0034
WH97,100,102,I-39,19921123-0108
WH98,260,242,I-40,19680712-0028
WH99,120,133,I-40,19750417-0051
WH100,260,277,I-41,19590129-0004
WH101,140,138,I-41,19750122-0056
WH102,100,116,I-41,19920826-0088
WH103,260,272,I-42,19600529-0021
WH104,120,114,I-42,19781217-0053
WH105,260,241,I-43,19611219-0014
WH106,140,153,I-43,19750705-0033
WH107,120,119,I-43,19930512-0117
WH108,280,267,I-44,19611219-0014
WH109,140,139,I-44,19780815-0047
WH110,240,224,I-45,19640414-0013
WH111,100,93,I-45,19750331-0036
WH112,100,104,I-45,19910403-0131
WH113,260,280,I-46,19650303-0019
WH114,120,103,I-46,19750331-0036
WH115,280,278,I-47,19690513-0015
WH116,140,121,I-47,19780815-0047
WH117,280,284,I-48,19600814-0002
WH118,120,120,I-48,19751018-0039
WH119,280,291,I-49,19560612-0010
WH120,100,87,I-49,19770224-0058
WH121,140,149,I-49,19930616-0127
WH122,260,250,I-50,19560612-0010
WH123,140,133,I-50,19750102-0059
WH124,260,240,I-51,19560705-0025
WH125,120,121,I-51,19761009-0055
WH126,260,259,I-52,19610918-0027
WH127,100,87,I-52,19790426-0049
WH128,140,137,I-52,19910101-0133
WH129,260,278,I-53,19680712-0028
WH130,140,141,I-53,19790702-0038
WH131,120,131,I-53,19911116-0069
WH132,240,221,I-54,19690513-0015
WH133,140,124,I-54,19760524-0046
WH134,140,129,I-54,19931118-0062
WH135,260,273,I-55,19680712-0028
WH136,120,132,I-55,19750705-0033
WH137,240,241,I-56,19570826-0012
WH138,100,85,I-56,19760524-0046
WH139,100,103,I-56,19920505-0115
WH140,240,233,I-57,19640220-0029
WH141,140,155,I-57,19780602-0035
WH142,260,271,I-58,19561222-0030
WH143,140,158,I-58,19790426-0049
WH144,240,231,I-59,19630126-0001
WH145,100,96,I-59,19780815-0047
WH146,140,129,I-59,19920505-0115
WH147,240,252,I-60,19600529-0021
WH148,140,144,I-60,19761020-0044
WH149,260,275,I-61,19610918-0027
WH150,140,154,I-61,19750331-0036
WH151,240,224,I-62,19650303-0019
WH152,140,137,I-62,19790618-0048
WH153,100,108,I-62,19930709-0100
WH154,240,248,I-63,19640414-0013
WH155,120,131,I-63,19770713-0042
WH156,280,261,I-64,19690408-0009
WH157,120,137,I-64,19761009-0055
WH158,240,242,I-65,19560812-0016
WH159,120,120,I-65,19781130-0054
WH160,280,283,I-66,19620424-0026
WH161,120,124,I-66,19790702-0038
WH162,280,274,I-67,19620831-0024
WH163,140,127,I-67,19761009-0055
WH164,240,256,I-68,19610918-0027
WH165,100,120,I-68,19760108-0050
WH166,240,246,I-69,19610918-0027
WH167,100,115,I-69,19790717-0045
WH168,100,101,I-69,19930829-0082
WH169,260,271,I-70,19600529-0021
WH170,100,91,I-70,19781125-0031
WH171,140,133,I-70,19900520-0063
WH172,280,260,I-71,19601021-0018
WH173,120,106,I-71,19761024-0034
WH174,100,117,I-71,19900909-0123
WH175,240,246,I-72,19610918-0027
WH176,120,121,I-72,19760108-0050
WH177,120,100,I-72,19920602-0073
WH178,280,295,I-73,19690513-0015
WH179,140,141,I-73,19790426-0049
WH180,140,158,I-73,19920320-0121
WH181,260,269,I-74,19561222-0030
WH182,140,147,I-74,19750331-0036
WH183,140,131,I-74,19930829-0082
WH184,280,281,I-75,19620424-0026
WH185,120,117,I-75,19760524-0046
WH186,100,84,I-75,19920828-0070
WH187,280,265,I-76,19580218-0007
WH188,100,97,I-76,19761009-0055
WH189,140,131,I-76,19911025-0091
WH190,240,251,I-77,19660630-0020
WH191,100,113,I-77,19781130-0054
WH192,280,282,I-78,19560812-0016
WH193,140,136,I-78,19750512-0043
WH194,240,254,I-79,19640220-0029
WH195,120,140,I-79,19770713-0042
WH196,280,296,I-80,19580218-0007
WH197,120,100,I-80,19750722-0060
WH198,280,295,I-81,19561222-0030
WH199,120,133,I-81,19770713-0042
WH200,260,278,I-82,19560705-0025
WH201,140,137,I-82,19771013-0040
WH202,100,101,I-82,19920320-0121
WH203,260,248,I-83,19610620-0006
WH204,140,133,I-83,19780602-0035
WH205,120,102,I-83,19911025-0091
WH206,260,277,I-84,19660630-0020
WH207,100,99,I-84,19750122-0056
WH208,260,258,I-85,19560705-0025
WH209,140,139,I-85,19790702-0038
WH210,120,126,I-85,19910927-0128
WH211,240,260,I-86,19570615-0011
WH212,140,145,I-86,19780815-0047
WH213,280,264,I-87,19610918-0027
WH214,120,133,I-87,19780424-0057
WH215,280,265,I-88,19600905-0003
WH216,120,108,I-88,19751018-0039
WH217,140,153,I-88,19931231-0099
WH218,260,246,I-89,19620522-0023
WH219,120,124,I-89,19761024-0034
WH220,120,128,I-89,19930829-0082
WH221,280,290,I-90,19620831-0024
WH222,140,123,I-90,19780815-0047
WH223,120,131,I-90,19910206-0081
WH224,240,248,I-91,19680712-0028
WH225,100,109,I-91,19780424-0057
WH226,120,126,I-91,19900520-0063
WH227,260,266,I-92,19640220-0029
WH228,120,123,I-92,19781217-0053
WH229,260,250,I-93,19580515-0017
WH230,100,81,I-93,19761020-0044
WH231,280,276,I-94,19630126-0001
WH232,120,116,I-94,19790708-0041
WH233,140,122,I-94,19900317-0083
WH234,240,230,I-95,19690513-0015
WH235,140,150,I-95,19751018-0039
WH236,100,98,I-95,19901002-0085
WH237,260,277,I-96,19560812-0016
WH238,140,132,I-96,19780317-0052
WH239,140,125,I-96,19900317-0083
WH240,280,296,I-97,19640414-0013
WH241,120,113,I-97,19750906-0032
WH242,100,107,I-97,19930508-0061
WH243,240,242,I-98,19650303-0019
WH244,100,93,I-98,19750417-0051
WH245,280,295,I-99,19580218-0007
WH246,140,139,I-99,19750906-0032
WH247,240,260,I-100,19680712-0028
WH248,100,111,I-100,19750331-0036
WH249,280,286,I-101,19580218-0007
WH250,120,130,I-101,19780602-0035
WH251,120,132,I-101,19930326-0132
WH252,240,237,I-102,19570615-0011
WH253,100,96,I-102,19770713-0042
WH254,260,259,I-103,19650303-0019
WH255,120,112,I-103,19760108-0050
WH256,100,103,I-103,19930919-0137
WH257,280,282,I-104,19650303-0019
WH258,140,157,I-104,19751018-0039
WH259,120,110,I-104,19921218-0101
WH260,260,264,I-105,19650303-0019
WH261,120,110,I-105,19761009-0055
WH262,280,276,I-106,19610918-0027
WH263,100,97,I-106,19790426-0049
WH264,100,100,I-106,19920122-0065
WH265,260,265,I-107,19600529-0021
WH266,120,121,I-107,19750331-0036
WH267,240,244,I-108,19590129-0004
WH268,100,95,I-108,19761009-0055
WH269,260,277,I-109,19570826-0012
WH270,140,135,I-109,19790717-0045
WH271,260,278,I-110,19570828-0008
WH272,140,124,I-110,19750417-0051
WH273,100,91,I-110,19920122-0065
WH274,280,292,I-111,19600529-0021
WH275,140,148,I-111,19750512-0043
WH276,120,101,I-111,19900616-0124
WH277,260,263,I-112,19561222-0030
WH278,140,157,I-112,19750417-0051
WH279,140,136,I-112,19910404-0102
WH280,260,248,I-113,19690917-0022
WH281,100,88,I-113,19760524-0046
WH282,260,240,I-114,19620522-0023
WH283,140,123,I-114,19760524-0046
WH284,260,261,I-115,19640414-0013
WH285,120,126,I-115,19770224-0058
WH286,120,120,I-115,19900511-0134
WH287,260,278,I-116,19560812-0016
WH288,120,101,I-116,19781217-0053
WH289,280,290,I-117,19601021-0018
WH290,100,93,I-117,19781217-0053
WH291,100,82,I-117,19921127-0120
WH292,280,262,I-118,19611219-0014
WH293,100,113,I-118,19790426-0049
WH294,120,139,I-118,19921123-0108
WH295,260,262,I-119,19610623-0005
WH296,100,119,I-119,19780317-0052
WH297,140,159,I-119,19930919-0137
WH298,240,248,I-120,19690513-0015
WH299,100,100,I-120,19781217-0053
WH300,280,282,I-121,19640220-0029
WH301,120,122,I-121,19780317-0052
WH302,120,122,I-121,19920826-0088
WH303,260,254,I-122,19690917-0022
WH304,140,121,I-122,19790702-0038
WH305,120,123,I-122,19920316-0107
WH306,260,247,I-123,19660630-0020
WH307,140,121,I-123,19790702-0038
WH308,280,297,I-124,19580218-0007
WH309,140,123,I-124,19760524-0046
WH310,100,94,I-124,19930228-0086
WH311,240,226,I-125,19561222-0030
WH312,100,104,I-125,19750906-0032
WH313,140,151,I-125,19921208-0097
WH314,260,260,I-126,19570828-0008
WH315,140,151,I-126,19781130-0054
WH316,120,134,I-126,19900128-0095
WH317,240,246,I-127,19590129-0004
WH318,100,86,I-127,19761020-0044
WH319,280,275,I-128,19570826-0012
WH320,140,123,I-128,19780424-0057
WH321,120,104,I-128,19901219-0125
WH322,280,282,I-129,19560812-0016
WH323,100,89,I-129,19770713-0042
WH324,120,129,I-129,19931118-0062
WH325,260,277,I-130,19610623-0005
WH326,120,128,I-130,19790618-0048
WH327,280,270,I-131,19640414-0013
WH328,100,84,I-131,19790708-0041
WH329,140,147,I-131,19921208-0097
WH330,260,252,I-132,19560812-0016
WH331,120,101,I-132,19770713-0042
WH332,100,98,I-132,19910514-0068
WH333,240,243,I-133,19570826-0012
WH334,140,156,I-133,19760108-0050
WH335,140,135,I-133,19930228-0086
WH336,260,279,I-134,19650303-0019
WH337,100,109,I-134,19771013-0040
WH338,120,134,I-134,19910822-0122
WH339,240,222,I-135,19690513-0015
WH340,120,124,I-135,19780317-0052
WH341,100,113,I-135,19900723-0126
WH342,260,249,I-136,19650303-0019
WH343,100,106,I-136,19750417-0051
WH344,260,261,I-137,19690917-0022
WH345,140,125,I-137,19781130-0054
WH346,280,298,I-138,19610623-0005
WH347,100,85,I-138,19760108-0050
WH348,280,274,I-139,19560812-0016
WH349,100,102,I-139,19780602-0035
WH350,240,224,I-140,19560812-0016
WH351,100,88,I-140,19780317-0052
WH352,240,243,I-141,19640414-0013
WH353,100,86,I-141,19750331-0036
WH354,100,90,I-141,19931226-0118
WH355,240,220,I-142,19590129-0004
WH356,100,83,I-142,19760108-0050
WH357,240,220,I-143,19650303-0019
WH358,100,91,I-143,19750906-0032
WH359,280,273,I-144,19660630-0020
WH360,100,103,I-144,19750705-0033
WH361,240,222,I-145,19600529-0021
WH362,100,95,I-145,19750906-0032
WH363,260,244,I-146,19580218-0007
WH364,100,102,I-146,19780424-0057
WH365,240,255,I-147,19560812-0016
WH366,100,106,I-147,19750331-0036
WH367,140,126,I-147,19920226-0075
WH368,280,284,I-148,19640414-0013
WH369,140,144,I-148,19790426-0049
WH370,140,120,I-148,19910514-0068
WH371,280,263,I-149,19610623-0005
WH372,140,154,I-149,19750512-0043
WH373,260,275,I-150,19561222-0030
WH374,100,89,I-150,19750122-0056
WH375,260,248,I-151,19680712-0028
WH376,100,94,I-151,19751018-0039
WH377,280,292,I-152,19611219-0014
WH378,120,131,I-152,19780317-0052
WH379,120,111,I-152,19920504-0093
WH380,260,252,I-153,19580515-0017
WH381,140,135,I-153,19750705-0033
WH382,260,250,I-154,19610620-0006
WH383,100,112,I-154,19761009-0055
WH384,140,150,I-154,19910101-0133
WH385,280,285,I-155,19570826-0012
WH386,140,159,I-155,19790702-0038
WH387,140,126,I-155,19910927-0128
WH388,260,255,I-156,19600814-0002
WH389,100,85,I-156,19761024-0034
WH390,140,134,I-156,19910421-0067
WH391,280,293,I-157,19560612-0010
WH392,120,103,I-157,19750417-0051
WH393,240,225,I-158,19570615-0011
WH394,140,158,I-158,19750906-0032
WH395,260,279,I-159,19580218-0007
WH396,140,121,I-159,19790618-0048
WH397,120,123,I-159,19931203-0066
